method,k,alpha,beta,vocab_size,avg_real_kmers,alpha_pseudo_mass,alpha_pseudo_real_ratio,silhouette_score,mean_functional_silhouette,mean_pathological_silhouette,mean_within_class_distance,mean_between_class_distance,within_between_ratio,dunn_index,nearest_neighbor_accuracy,matrix_file
SIWKL,15,1e-06,1e-06,199251,227870.9,0.19925099999999998,8.744030062636343e-07,0.04313455574233922,0.0002854764225914929,0.08598363506208695,0.06537627077203771,0.06832549647050781,0.9568356491965907,0.9093107053517432,1.0,SIWKL_matrix_k15_alpha1em06_beta1em06.txt
SIWKL,21,1.0,1.0,219315,227864.9,219315.0,0.9624782052874313,0.052736681217411985,-0.05132085814847315,0.15679422058329712,0.0025618150460532943,0.002700435203322653,0.9486674751170483,0.8952348461346349,0.5,SIWKL_matrix_k21_alpha1p0_beta1p0.txt
SIWKL,21,1.0,0.1,219315,227864.9,219315.0,0.9624782052874313,0.05185228553904427,-0.0510252616538233,0.15472983273191188,0.00252286344436902,0.0026569467109627287,0.9495348303221617,0.8959104610981538,0.5,SIWKL_matrix_k21_alpha1p0_beta0p1.txt
SIWKL,21,1.0,0.01,219315,227864.9,219315.0,0.9624782052874313,0.051719987521565036,-0.050989746336939444,0.15442972138006955,0.002517252348402219,0.0026506738333474155,0.9496650688339484,0.8960078645876612,0.5,SIWKL_matrix_k21_alpha1p0_beta0p01.txt
SIWKL,21,1.0,0.001,219315,227864.9,219315.0,0.9624782052874313,0.05170604855831257,-0.05098610975682134,0.15439820687344646,0.002516664029569648,0.002650016024656683,0.9496787967143288,0.8960180916892729,0.5,SIWKL_matrix_k21_alpha1p0_beta0p001.txt
SIWKL,21,1.0,0.0001,219315,227864.9,219315.0,0.9624782052874313,0.05170464710918647,-0.050985745205652376,0.15439503942402533,0.002516604908638471,0.002649949919545704,0.9496801770011967,0.8960191195931552,0.5,SIWKL_matrix_k21_alpha1p0_beta0p0001.txt
SIWKL,21,1.0,1e-06,219315,227864.9,219315.0,0.9624782052874313,0.05170449286539688,-0.05098570509505881,0.15439469082585258,0.0025165984021074264,0.0026499426443617555,0.9496803289165358,0.8960192327206228,0.5,SIWKL_matrix_k21_alpha1p0_beta1em06.txt
SIWKL,21,0.1,1.0,219315,227864.9,21931.5,0.09624782052874313,0.05211161377764778,-0.046541530081338434,0.150764757636634,0.01568620724486982,0.016528532621533316,0.949038103021552,0.8948829693309344,0.5,SIWKL_matrix_k21_alpha0p1_beta1p0.txt
SIWKL,21,0.1,0.1,219315,227864.9,21931.5,0.09624782052874313,0.05123420574129813,-0.04634427648356817,0.14881268796616445,0.015451809217183388,0.016266687543387535,0.9499050852221356,0.8956107294628277,0.5,SIWKL_matrix_k21_alpha0p1_beta0p1.txt
SIWKL,21,0.1,0.01,219315,227864.9,21931.5,0.09624782052874313,0.05110271470783978,-0.04632262915340162,0.1485280585690812,0.015418012486059238,0.01622888190447544,0.9500354107455432,0.8957147175851484,0.5,SIWKL_matrix_k21_alpha0p1_beta0p01.txt
SIWKL,21,0.1,0.001,219315,227864.9,21931.5,0.09624782052874313,0.05108885805853743,-0.04632044405012652,0.1484981601672014,0.015414468563187627,0.01622491696692872,0.9500491493797453,0.8957256226690099,0.5,SIWKL_matrix_k21_alpha0p1_beta0p001.txt
SIWKL,21,0.1,0.0001,219315,227864.9,21931.5,0.09624782052874313,0.05108746485790873,-0.04632022533498684,0.1484951550508043,0.015414112426027308,0.016224518514435213,0.9500505307638637,0.8957267185753989,0.5,SIWKL_matrix_k21_alpha0p1_beta0p0001.txt
SIWKL,21,0.1,1e-06,219315,227864.9,21931.5,0.09624782052874313,0.051087311521644654,-0.046320201274047054,0.14849482431733638,0.01541407323144972,0.016224474662782037,0.9500506828001447,0.8957268391854194,0.5,SIWKL_matrix_k21_alpha0p1_beta1em06.txt
SIWKL,21,0.01,1.0,219315,227864.9,2193.15,0.009624782052874313,0.05194379010505028,-0.044892420653743347,0.14878000086384388,0.03265729727839976,0.03440782456343944,0.9491241510543005,0.8949269472834144,0.5,SIWKL_matrix_k21_alpha0p01_beta1p0.txt
SIWKL,21,0.01,0.1,219315,227864.9,2193.15,0.009624782052874313,0.05106763008516414,-0.044729170723778675,0.14686443089410695,0.03217211219817738,0.03386566917511566,0.9499919234378308,0.8956700161987565,0.5,SIWKL_matrix_k21_alpha0p01_beta0p1.txt
SIWKL,21,0.01,0.01,219315,227864.9,2193.15,0.009624782052874313,0.05093626306033995,-0.04471233712591569,0.14658486324659561,0.03210213580705825,0.033787368652120196,0.9501224004031401,0.8957758944389161,0.5,SIWKL_matrix_k21_alpha0p01_beta0p01.txt
