method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample06.pathological.fa,pathological,0.03028349,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample07.pathological.fa,pathological,0.03259241,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample08.pathological.fa,pathological,0.03347915,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample09.pathological.fa,pathological,0.02915953,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,sample10.pathological.fa,pathological,0.02694963,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample01.functional.fa,functional,-0.00437040,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample02.functional.fa,functional,-0.00758257,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample03.functional.fa,functional,-0.00579004,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample04.functional.fa,functional,0.00115906,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample05.functional.fa,functional,-0.00317173,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample06.pathological.fa,pathological,0.03988967,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample07.pathological.fa,pathological,0.04338525,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample08.pathological.fa,pathological,0.04400455,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample09.pathological.fa,pathological,0.04032551,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,sample10.pathological.fa,pathological,0.03692537,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample01.functional.fa,functional,-0.03973802,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample02.functional.fa,functional,-0.03928519,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample03.functional.fa,functional,-0.04284809,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample04.functional.fa,functional,-0.03868700,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample05.functional.fa,functional,-0.04165913,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample06.pathological.fa,pathological,0.06913438,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample07.pathological.fa,pathological,0.07159817,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample08.pathological.fa,pathological,0.06875075,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample09.pathological.fa,pathological,0.06841630,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,sample10.pathological.fa,pathological,0.06832045,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample01.functional.fa,functional,-0.03970028,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample02.functional.fa,functional,-0.03925057,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample03.functional.fa,functional,-0.04281241,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample04.functional.fa,functional,-0.03864494,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample05.functional.fa,functional,-0.04163923,possibly_misplaced
