method,weight_function,capped_weight,k,alpha,beta,sample,class,silhouette_value
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample09.pathological,pathological,0.11871387653438596
SIWKL_inverse_G,1/G,True,31,0.01,1.0,sample10.pathological,pathological,0.11984765930759578
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample01.functional,functional,-0.0580259071518443
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample02.functional,functional,-0.057742230905165205
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample03.functional,functional,-0.05962022777799751
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample04.functional,functional,-0.05700577101110139
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample05.functional,functional,-0.06483692783329195
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample06.pathological,pathological,0.11540839215280808
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample07.pathological,pathological,0.11825802936313241
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample08.pathological,pathological,0.11528670694904151
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample09.pathological,pathological,0.11860756072630772
SIWKL_inverse_G,1/G,True,31,0.001,1.0,sample10.pathological,pathological,0.11973719416552249
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample01.functional,functional,-0.05799437961158045
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample02.functional,functional,-0.05770157881234747
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample03.functional,functional,-0.05959210840949913
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample04.functional,functional,-0.056969258462469
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample05.functional,functional,-0.06479593417182965
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample06.pathological,pathological,0.11535958738519696
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample07.pathological,pathological,0.1182083147891107
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample08.pathological,pathological,0.11523530280324676
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample09.pathological,pathological,0.11855322576500897
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,sample10.pathological,pathological,0.11968066324788125
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample01.functional,functional,-0.05796275233985351
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample02.functional,functional,-0.05766080347468489
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample03.functional,functional,-0.05956389697724184
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample04.functional,functional,-0.05693262870610205
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample05.functional,functional,-0.0647548192985751
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample06.pathological,pathological,0.1153106261582275
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample07.pathological,pathological,0.1181584494194896
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample08.pathological,pathological,0.11518374510806159
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample09.pathological,pathological,0.11849873729539871
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,sample10.pathological,pathological,0.11962395416649675
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample01.functional,functional,-0.07018500632243799
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample02.functional,functional,-0.06830461269645534
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample03.functional,functional,-0.07032973273915982
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample04.functional,functional,-0.06786844817675683
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample05.functional,functional,-0.07547368890737491
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample06.pathological,pathological,0.1338646895812133
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample07.pathological,pathological,0.13538727281013377
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample08.pathological,pathological,0.13353562358332963
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample09.pathological,pathological,0.13882049724812595
SIWKL_inverse_G,1/G,True,41,1.0,1.0,sample10.pathological,pathological,0.14060244268549857
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample01.functional,functional,-0.06998977407670608
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample02.functional,functional,-0.06812528386287157
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample03.functional,functional,-0.07025808882264864
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample04.functional,functional,-0.06777397553678083
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample05.functional,functional,-0.07528840321250402
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample06.pathological,pathological,0.13371548602027236
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample07.pathological,pathological,0.1352298354740138
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample08.pathological,pathological,0.13337210708236255
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample09.pathological,pathological,0.1386552202511666
SIWKL_inverse_G,1/G,True,41,0.1,1.0,sample10.pathological,pathological,0.14045020767377295
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample01.functional,functional,-0.06991671246297457
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample02.functional,functional,-0.06805900101892716
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample03.functional,functional,-0.07023073656315493
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample04.functional,functional,-0.0677384359326454
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample05.functional,functional,-0.07522004259367521
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample06.pathological,pathological,0.13365935165604623
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample07.pathological,pathological,0.13517114916069056
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample08.pathological,pathological,0.13331131332290408
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample09.pathological,pathological,0.13859435457791097
SIWKL_inverse_G,1/G,True,41,0.01,1.0,sample10.pathological,pathological,0.14039326696737403
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample01.functional,functional,-0.06988708751672242
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample02.functional,functional,-0.06803231232838344
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample03.functional,functional,-0.07021953623683762
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample04.functional,functional,-0.06772396046932387
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample05.functional,functional,-0.07519259687291745
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample06.pathological,pathological,0.13363640504473592
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample07.pathological,pathological,0.13514741320611146
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample08.pathological,pathological,0.13328679773137736
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample09.pathological,pathological,0.13857008183492742
SIWKL_inverse_G,1/G,True,41,0.001,1.0,sample10.pathological,pathological,0.14037014756071328
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample01.functional,functional,-0.06987191282258404
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample02.functional,functional,-0.0680186678865918
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample03.functional,functional,-0.07021378393456308
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample04.functional,functional,-0.06771653564110301
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample05.functional,functional,-0.07517857812330989
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample06.pathological,pathological,0.1336246202867612
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample07.pathological,pathological,0.1351352636427489
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample08.pathological,pathological,0.1332742608070564
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample09.pathological,pathological,0.13855771311500759
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,sample10.pathological,pathological,0.14035829916320514
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample01.functional,functional,-0.06985668902910143
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample02.functional,functional,-0.06800498478205273
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample03.functional,functional,-0.0702080096302923
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample04.functional,functional,-0.06770908437479387
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample05.functional,functional,-0.0751645224961652
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample06.pathological,pathological,0.13361279047524044
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample07.pathological,pathological,0.13512307664615691
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample08.pathological,pathological,0.1332616878568702
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample09.pathological,pathological,0.13854531867838465
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,sample10.pathological,pathological,0.14034641104984616
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample01.functional,functional,-0.07734697095743505
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample02.functional,functional,-0.0747581869274695
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample03.functional,functional,-0.07566289479052292
