method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.01,True,sample06.pathological.fa,pathological,0.05202745,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.01,True,sample07.pathological.fa,pathological,0.05609582,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.01,True,sample08.pathological.fa,pathological,0.05659219,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.01,True,sample09.pathological.fa,pathological,0.05429554,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.01,True,sample10.pathological.fa,pathological,0.04900328,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample01.functional.fa,functional,-0.00305710,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample02.functional.fa,functional,-0.00575991,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample03.functional.fa,functional,-0.00498144,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample04.functional.fa,functional,0.00375116,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample05.functional.fa,functional,-0.00199087,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample06.pathological.fa,pathological,0.05316455,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample07.pathological.fa,pathological,0.05734615,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample08.pathological.fa,pathological,0.05782164,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample09.pathological.fa,pathological,0.05561053,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.1,True,sample10.pathological.fa,pathological,0.05016565,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample01.functional.fa,functional,-0.00192443,possibly_misplaced
