method,k,alpha,beta,sample,class,silhouette_value
SIWKL,15,1e-06,0.001,sample01.functional,functional,-0.000675386171908234
SIWKL,15,1e-06,0.001,sample02.functional,functional,-0.002554693913771802
SIWKL,15,1e-06,0.001,sample03.functional,functional,-0.0041372688577766825
SIWKL,15,1e-06,0.001,sample04.functional,functional,0.008834194656275845
SIWKL,15,1e-06,0.001,sample05.functional,functional,-3.850646885581857e-05
SIWKL,15,1e-06,0.001,sample06.pathological,pathological,0.0829435888189766
SIWKL,15,1e-06,0.001,sample07.pathological,pathological,0.08854109205797621
SIWKL,15,1e-06,0.001,sample08.pathological,pathological,0.08896213336836216
SIWKL,15,1e-06,0.001,sample09.pathological,pathological,0.0899133286193809
SIWKL,15,1e-06,0.001,sample10.pathological,pathological,0.07957072954781255
SIWKL,15,1e-06,0.0001,sample01.functional,functional,-0.0006755621874920303
SIWKL,15,1e-06,0.0001,sample02.functional,functional,-0.00255491160223475
SIWKL,15,1e-06,0.0001,sample03.functional,functional,-0.004137325975516009
SIWKL,15,1e-06,0.0001,sample04.functional,functional,0.008833867115783978
SIWKL,15,1e-06,0.0001,sample05.functional,functional,-3.859030191350505e-05
SIWKL,15,1e-06,0.0001,sample06.pathological,pathological,0.08294142997903592
SIWKL,15,1e-06,0.0001,sample07.pathological,pathological,0.08853877155028221
SIWKL,15,1e-06,0.0001,sample08.pathological,pathological,0.08895982329979285
SIWKL,15,1e-06,0.0001,sample09.pathological,pathological,0.08991084334548859
SIWKL,15,1e-06,0.0001,sample10.pathological,pathological,0.07956856599101611
SIWKL,15,1e-06,1e-06,sample01.functional,functional,-0.000675581568857637
SIWKL,15,1e-06,1e-06,sample02.functional,functional,-0.0025549355699334237
SIWKL,15,1e-06,1e-06,sample03.functional,functional,-0.004137332271422089
SIWKL,15,1e-06,1e-06,sample04.functional,functional,0.008833831058601097
SIWKL,15,1e-06,1e-06,sample05.functional,functional,-3.8599535430482165e-05
SIWKL,15,1e-06,1e-06,sample06.pathological,pathological,0.08294119238528394
SIWKL,15,1e-06,1e-06,sample07.pathological,pathological,0.08853851616213455
SIWKL,15,1e-06,1e-06,sample08.pathological,pathological,0.08895956906068558
SIWKL,15,1e-06,1e-06,sample09.pathological,pathological,0.08991056982460285
SIWKL,15,1e-06,1e-06,sample10.pathological,pathological,0.07956832787772782
SIWKL,21,1.0,1.0,sample01.functional,functional,-0.04987149319273425
SIWKL,21,1.0,1.0,sample02.functional,functional,-0.05054192275354056
SIWKL,21,1.0,1.0,sample03.functional,functional,-0.05249419134020876
SIWKL,21,1.0,1.0,sample04.functional,functional,-0.04637750329705168
SIWKL,21,1.0,1.0,sample05.functional,functional,-0.05731918015883048
SIWKL,21,1.0,1.0,sample06.pathological,pathological,0.15115327419588465
SIWKL,21,1.0,1.0,sample07.pathological,pathological,0.15850767410372713
SIWKL,21,1.0,1.0,sample08.pathological,pathological,0.15777394195021274
SIWKL,21,1.0,1.0,sample09.pathological,pathological,0.16096195115505207
SIWKL,21,1.0,1.0,sample10.pathological,pathological,0.155574261511609
SIWKL,21,1.0,0.1,sample01.functional,functional,-0.04957686794426969
SIWKL,21,1.0,0.1,sample02.functional,functional,-0.050239879448802975
SIWKL,21,1.0,0.1,sample03.functional,functional,-0.052226918632702915
