method,k,alpha,beta,sample,class,silhouette_value
SIWKL,41,0.01,1.0,sample08.pathological,pathological,0.2189436093270626
SIWKL,41,0.01,1.0,sample09.pathological,pathological,0.2281592323298548
SIWKL,41,0.01,1.0,sample10.pathological,pathological,0.22671210774669986
SIWKL,41,0.001,1.0,sample01.functional,functional,-0.08311630120802349
SIWKL,41,0.001,1.0,sample02.functional,functional,-0.07792102507754578
SIWKL,41,0.001,1.0,sample03.functional,functional,-0.0772145733226873
SIWKL,41,0.001,1.0,sample04.functional,functional,-0.07576339736998125
SIWKL,41,0.001,1.0,sample05.functional,functional,-0.09028246114793202
SIWKL,41,0.001,1.0,sample06.pathological,pathological,0.21394895130566682
SIWKL,41,0.001,1.0,sample07.pathological,pathological,0.2177558151130152
SIWKL,41,0.001,1.0,sample08.pathological,pathological,0.21884367604889207
SIWKL,41,0.001,1.0,sample09.pathological,pathological,0.22806279011122554
SIWKL,41,0.001,1.0,sample10.pathological,pathological,0.226617392816145
SIWKL,41,0.0001,1.0,sample01.functional,functional,-0.0830497093734159
SIWKL,41,0.0001,1.0,sample02.functional,functional,-0.07786069644070502
SIWKL,41,0.0001,1.0,sample03.functional,functional,-0.07719036216279869
SIWKL,41,0.0001,1.0,sample04.functional,functional,-0.07573050698235041
SIWKL,41,0.0001,1.0,sample05.functional,functional,-0.09022136018611929
SIWKL,41,0.0001,1.0,sample06.pathological,pathological,0.21389984318182298
SIWKL,41,0.0001,1.0,sample07.pathological,pathological,0.2177060349255723
SIWKL,41,0.0001,1.0,sample08.pathological,pathological,0.2187925852453114
SIWKL,41,0.0001,1.0,sample09.pathological,pathological,0.22801351700321715
SIWKL,41,0.0001,1.0,sample10.pathological,pathological,0.2265689490091155
SIWKL,41,1e-06,1.0,sample01.functional,functional,-0.08298291550147673
SIWKL,41,1e-06,1.0,sample02.functional,functional,-0.07780019055474716
SIWKL,41,1e-06,1.0,sample03.functional,functional,-0.07716606794421753
SIWKL,41,1e-06,1.0,sample04.functional,functional,-0.07569750852496686
SIWKL,41,1e-06,1.0,sample05.functional,functional,-0.09016008275427603
SIWKL,41,1e-06,1.0,sample06.pathological,pathological,0.21385058284478073
SIWKL,41,1e-06,1.0,sample07.pathological,pathological,0.21765610696191012
SIWKL,41,1e-06,1.0,sample08.pathological,pathological,0.218741344790228
SIWKL,41,1e-06,1.0,sample09.pathological,pathological,0.22796410692643396
SIWKL,41,1e-06,1.0,sample10.pathological,pathological,0.22652035888344377
SIWKL,51,1.0,1.0,sample01.functional,functional,-0.09152504682533463
SIWKL,51,1.0,1.0,sample02.functional,functional,-0.08572696068020434
SIWKL,51,1.0,1.0,sample03.functional,functional,-0.08269143462652281
SIWKL,51,1.0,1.0,sample04.functional,functional,-0.0821150784739905
SIWKL,51,1.0,1.0,sample05.functional,functional,-0.09874018393262816
SIWKL,51,1.0,1.0,sample06.pathological,pathological,0.23086378324475046
SIWKL,51,1.0,1.0,sample07.pathological,pathological,0.2341877983827132
SIWKL,51,1.0,1.0,sample08.pathological,pathological,0.23670830754751418
SIWKL,51,1.0,1.0,sample09.pathological,pathological,0.24452263846808692
SIWKL,51,1.0,1.0,sample10.pathological,pathological,0.24365933785931154
SIWKL,51,0.1,1.0,sample01.functional,functional,-0.09129553893332547
SIWKL,51,0.1,1.0,sample02.functional,functional,-0.085492326240979
SIWKL,51,0.1,1.0,sample03.functional,functional,-0.0825548193234999
SIWKL,51,0.1,1.0,sample04.functional,functional,-0.08209553230028686
SIWKL,51,0.1,1.0,sample05.functional,functional,-0.09851704214813443
SIWKL,51,0.1,1.0,sample06.pathological,pathological,0.23069761522463922
SIWKL,51,0.1,1.0,sample07.pathological,pathological,0.2340153691729522
SIWKL,51,0.1,1.0,sample08.pathological,pathological,0.23653124284400043
SIWKL,51,0.1,1.0,sample09.pathological,pathological,0.24434888444482802
SIWKL,51,0.1,1.0,sample10.pathological,pathological,0.24349402322932107
SIWKL,51,0.01,1.0,sample01.functional,functional,-0.09120772930535027
SIWKL,51,0.01,1.0,sample02.functional,functional,-0.08540319451794114
SIWKL,51,0.01,1.0,sample03.functional,functional,-0.08250191796090349
SIWKL,51,0.01,1.0,sample04.functional,functional,-0.08208804822082391
SIWKL,51,0.01,1.0,sample05.functional,functional,-0.09843261300037
SIWKL,51,0.01,1.0,sample06.pathological,pathological,0.23063371585190864
SIWKL,51,0.01,1.0,sample07.pathological,pathological,0.23394960685589308
SIWKL,51,0.01,1.0,sample08.pathological,pathological,0.2364638906631062
SIWKL,51,0.01,1.0,sample09.pathological,pathological,0.24428337235365077
SIWKL,51,0.01,1.0,sample10.pathological,pathological,0.24343076434224403
SIWKL,51,0.001,1.0,sample01.functional,functional,-0.09117200703913889
SIWKL,51,0.001,1.0,sample02.functional,functional,-0.08536715282451798
SIWKL,51,0.001,1.0,sample03.functional,functional,-0.08248029647817058
SIWKL,51,0.001,1.0,sample04.functional,functional,-0.08208489290032513
SIWKL,51,0.001,1.0,sample05.functional,functional,-0.0983985846981273
SIWKL,51,0.001,1.0,sample06.pathological,pathological,0.23060759815254336
SIWKL,51,0.001,1.0,sample07.pathological,pathological,0.2339229243922092
SIWKL,51,0.001,1.0,sample08.pathological,pathological,0.23643662756842762
SIWKL,51,0.001,1.0,sample09.pathological,pathological,0.24425706579545475
SIWKL,51,0.001,1.0,sample10.pathological,pathological,0.2434050214350685
SIWKL,51,0.0001,1.0,sample01.functional,functional,-0.09115370150378681
SIWKL,51,0.0001,1.0,sample02.functional,functional,-0.08534871706685945
SIWKL,51,0.0001,1.0,sample03.functional,functional,-0.08246920354879818
SIWKL,51,0.0001,1.0,sample04.functional,functional,-0.08208325661517296
SIWKL,51,0.0001,1.0,sample05.functional,functional,-0.09838119593359454
SIWKL,51,0.0001,1.0,sample06.pathological,pathological,0.23059419528393246
SIWKL,51,0.0001,1.0,sample07.pathological,pathological,0.233909262058336
SIWKL,51,0.0001,1.0,sample08.pathological,pathological,0.23642267793366217
SIWKL,51,0.0001,1.0,sample09.pathological,pathological,0.2442436385924293
SIWKL,51,0.0001,1.0,sample10.pathological,pathological,0.24339182835254491
SIWKL,51,1e-06,1.0,sample01.functional,functional,-0.09113533571209992
SIWKL,51,1e-06,1.0,sample02.functional,functional,-0.08533022795331005
SIWKL,51,1e-06,1.0,sample03.functional,functional,-0.08245807110002365
SIWKL,51,1e-06,1.0,sample04.functional,functional,-0.08208161043860654
SIWKL,51,1e-06,1.0,sample05.functional,functional,-0.09836376055578477
SIWKL,51,1e-06,1.0,sample06.pathological,pathological,0.23058074413292337
SIWKL,51,1e-06,1.0,sample07.pathological,pathological,0.23389555716861074
SIWKL,51,1e-06,1.0,sample08.pathological,pathological,0.2364086870410265
SIWKL,51,1e-06,1.0,sample09.pathological,pathological,0.2442301789576515
SIWKL,51,1e-06,1.0,sample10.pathological,pathological,0.2433785915781045
